매장명,매장주소,lat,lng
본 죽&비빔밥 전농뉴타운점,충북 충주시 연수동산로3길 20,37.575107,127.0496237
본 죽&비빔밥 가산디지털점,충북 충주시 연수동산로3길 20,37.4819131,126.8815811
본 죽&비빔밥 회현역점,충북 충주시 연수동산로3길 20,37.5591477,126.9805573
본 죽&비빔밥 남성역점,충북 충주시 연수동산로3길 20,37.484352,126.9723834
본설렁탕 구로디지털단지점,충북 충주시 연수동산로3길 20,37.4856903,126.8924453
본도시락 청담점,충북 충주시 연수동산로3길 20,37.5209207,127.0576487
본 죽&비빔밥 논현점,충북 충주시 연수동산로3길 20,37.5105207,127.0235534
본 죽&비빔밥 매봉역점,충북 충주시 연수동산로3길 20,37.485436,127.0458602
본도시락 중곡점,충북 충주시 연수동산로3길 20,37.5737581,127.0844487
본 죽&비빔밥 보라매역점,충북 충주시 연수동산로3길 20,37.4985771,126.9210569
본도시락 수락산역점,충북 충주시 연수동산로3길 20,37.6803112,127.0549036
본도시락 마포역점,충북 충주시 연수동산로3길 20,37.5397904,126.9440814
본 죽&비빔밥 숭실대역점,충북 충주시 연수동산로3길 20,37.4973456,126.9530245
본설렁탕 위례점,충북 충주시 연수동산로3길 20,37.4747699,127.1428247
본도시락 문정법조타운점,충북 충주시 연수동산로3길 20,37.4801299,127.1196368
(취소)본 죽&비빔밥 구의시장점,충북 충주시 연수동산로3길 20,37.5447054,127.0885125
본 죽&비빔밥 오목교역점,충북 충주시 연수동산로3길 20,37.5222954,126.8741389
본 죽&비빔밥 종로르메이에르점,충북 충주시 연수동산로3길 20,37.5708345,126.9798606
본 죽&비빔밥 행당동점,충북 충주시 연수동산로3길 20,37.5578364,127.0301474
본설렁탕 문래점,충북 충주시 연수동산로3길 20,37.5189767,126.8862918
본 죽&비빔밥 응암오거리점,충북 충주시 연수동산로3길 20,37.5911969,126.9154993
본 죽&비빔밥 충무로역점,충북 충주시 연수동산로3길 20,37.5613426,126.9985981
본도시락 압구정역점,충북 충주시 연수동산로3길 20,37.5240699,127.0244887
본도시락 홍대점,충북 충주시 연수동산로3길 20,37.5538,126.9237
본도시락 길동점,충북 충주시 연수동산로3길 20,37.5347954,127.1399922
본도시락 왕십리점,충북 충주시 연수동산로3길 20,37.5692575,127.0248134
본 죽&비빔밥 용산센트럴점,충북 충주시 연수동산로3길 20,37.5290927,126.9668857
본도시락 마곡점,충북 충주시 연수동산로3길 20,37.5624067,126.8390411
본도시락 오목교점,충북 충주시 연수동산로3길 20,37.5218487,126.8691433
본 죽&비빔밥 상일2동점,충북 충주시 연수동산로3길 20,37.5498543,127.175374
본 죽&비빔밥 신림역점,충북 충주시 연수동산로3길 20,37.4820185,126.9296546
본설렁탕 상암DMC점,충북 충주시 연수동산로3길 20,37.5813386,126.8885633
본 죽&비빔밥 길음뉴타운점,충북 충주시 연수동산로3길 20,37.6100532,127.0205837
본도시락 이수점,충북 충주시 연수동산로3길 20,37.4907502,126.9837065
본도시락 명동점,충북 충주시 연수동산로3길 20,37.5598576,126.985374
본도시락 도곡동점,충북 충주시 연수동산로3길 20,37.484772,127.0436843
본도시락 가산점,충북 충주시 연수동산로3길 20,37.4796661,126.8883025
본도시락 방화점,충북 충주시 연수동산로3길 20,37.5736342,126.8132902
본도시락 신림점,충북 충주시 연수동산로3길 20,37.486781,126.9252244
본 죽&비빔밥 하계점,충북 충주시 연수동산로3길 20,37.6399219,127.0738098
본 죽&비빔밥 송정역점,충북 충주시 연수동산로3길 20,37.5610175,126.8111431
본도시락 신사역점,충북 충주시 연수동산로3길 20,37.5195528,127.0206216
본도시락 종로구청점,충북 충주시 연수동산로3길 20,37.5725619,126.9815061
본 죽&비빔밥 신반포점,충북 충주시 연수동산로3길 20,37.5043414,127.0010992
본 죽&비빔밥 녹번점,충북 충주시 연수동산로3길 20,37.6004227,126.934997
본 죽&비빔밥 북아현점,충북 충주시 연수동산로3길 20,37.5586219,126.9558605
본도시락 상일점,충북 충주시 연수동산로3길 20,37.5568528,127.1729373
본 죽&비빔밥 연신갈현점,충북 충주시 연수동산로3길 20,37.6212625,126.9192796
본 죽&비빔밥 홍은1동점,충북 충주시 연수동산로3길 20,37.5997995,126.9485332
본 죽&비빔밥 학동역점,충북 충주시 연수동산로3길 20,37.5137746,127.0290436
본 죽&비빔밥 개봉점,충북 충주시 연수동산로3길 20,37.4942568,126.8583773
본 죽&비빔밥 구로디지털역점,충북 충주시 연수동산로3길 20,37.4829989,126.9010632
본 죽&비빔밥 구의점,충북 충주시 연수동산로3길 20,37.5378939,127.0829911
본 죽&비빔밥 외대점,충북 충주시 연수동산로3길 20,37.5957043,127.0599731
본 죽&비빔밥 서초내곡점,충북 충주시 연수동산로3길 20,37.4534624,127.0597967
본설렁탕 문정역점,충북 충주시 연수동산로3길 20,37.4857987,127.1206993
본 죽&비빔밥 등촌공항대로점,충북 충주시 연수동산로3길 20,37.5516192,126.8656056
본설렁탕 성수역점,충북 충주시 연수동산로3길 20,37.5434989,127.058054
본 죽&비빔밥 고대구로병원점,충북 충주시 연수동산로3길 20,37.4910354,126.8836519
본도시락 성수점,충북 충주시 연수동산로3길 20,37.5465698,127.0529437
본 죽&비빔밥 상도점,충북 충주시 연수동산로3길 20,37.498081,126.9440038
본 죽&비빔밥 목동사거리점,충북 충주시 연수동산로3길 20,37.5328886,126.8641657
본 죽&비빔밥 신촌점,충북 충주시 연수동산로3길 20,37.5574794,126.9370688
본 죽&비빔밥 서울금호점,충북 충주시 연수동산로3길 20,37.5483137,127.0234893
본도시락 수유점,충북 충주시 연수동산로3길 20,37.6390395,127.0278786
본도시락 한남점,충북 충주시 연수동산로3길 20,37.5301631,127.0078018
본 죽&비빔밥 구로항동점,충북 충주시 연수동산로3길 20,37.4803525,126.8236668
본 죽&비빔밥 마포롯데캐슬점,충북 충주시 연수동산로3길 20,37.5450054,126.9512549
본도시락 삼성점,충북 충주시 연수동산로3길 20,37.5073178,127.0543052
본 죽&비빔밥 돈암동점,충북 충주시 연수동산로3길 20,37.5934255,127.0165012
본설렁탕 영등포양평역점,충북 충주시 연수동산로3길 20,37.5256528,126.8889554
본 죽&비빔밥 옥수점,충북 충주시 연수동산로3길 20,37.542448,127.0156923
본죽 신당동점,충북 충주시 연수동산로3길 20,37.5621243,127.0166596
본도시락 고려대점,충북 충주시 연수동산로3길 20,37.5822931,127.0286111
본 죽&비빔밥 여의도역점,충북 충주시 연수동산로3길 20,37.5214704,126.9249738
본죽 동묘앞역점,충북 충주시 연수동산로3길 20,37.5747174,127.0158837
본도시락 홍은점,충북 충주시 연수동산로3길 20,37.598222,126.9452041
본 죽&비빔밥 은평신사점,충북 충주시 연수동산로3길 20,37.5981745,126.9103988
본 죽&비빔밥 태릉입구역점,충북 충주시 연수동산로3길 20,37.6188116,127.0756183
본설렁탕 은평뉴타운점,충북 충주시 연수동산로3길 20,37.6357288,126.9193479
