구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,5221,52.17,549898,544804,5094,72602,0.93,13.2
강동구,1879,82.96,457042,452646,4396,66401,0.96,14.53
강북구,1265,83.07,316750,312985,3765,61660,1.19,19.47
강서구,1617,77.89,595703,589302,6401,85992,1.07,14.44
관악구,3985,99.15,516662,499374,17288,76664,3.35,14.84
광진구,1581,111.93,365990,350417,15573,48989,4.26,13.39
구로구,3227,72.11,438308,405837,32471,67432,7.41,15.38
금천구,1634,112.48,251370,232583,18787,38508,7.47,15.32
노원구,1906,42.03,535495,531037,4458,82682,0.83,15.44
도봉구,858,66.6,333495,331238,2257,60023,0.68,18.0
동대문구,2003,39.39,362793,346156,16637,60367,4.59,16.64
동작구,1780,79.25,407802,395014,12788,63378,3.14,15.54
마포구,1935,91.77,386086,374570,11516,53283,2.98,13.8
서대문구,2121,71.74,325875,312642,13233,53038,4.06,16.28
서초구,2835,54.08,434801,430568,4233,58332,0.97,13.42
성동구,2679,114.15,307193,299042,8151,44728,2.65,14.56
성북구,3003,78.01,454532,442494,12038,72172,2.65,15.88
송파구,1586,62.83,680883,674095,6788,89539,1.0,13.15
양천구,2775,90.2,460532,456339,4193,62761,0.91,13.63
영등포구,2495,139.44,404766,371903,32863,59373,8.12,14.67
용산구,2063,12.06,246165,229579,16586,39439,6.74,16.02
은평구,2962,43.09,482509,478019,4490,82245,0.93,17.05
종로구,1471,56.32,161984,151217,10767,28073,6.65,17.33
중구,1544,145.47,136469,126175,10294,23794,7.54,17.44
중랑구,1068,22.48,400678,395619,5059,66764,1.26,16.66
