강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,77.73,85.71,76.92,42.86,86.48,549898,5221,0.9720000000000001,3.6970000000000005
0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.85,100.0,75.0,33.35,82.89,457042,1879,0.258,3.7009
0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,82.35,92.86,100.0,43.1,88.64,316750,1265,0.32799999999999996,4.0695
0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,72.9,100.0,100.0,60.11,84.75,595703,1617,0.466,4.1776
0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.06,100.0,88.89,30.56,80.11,516662,3985,0.572,3.6862
0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,91.67,100.0,100.0,42.2,83.05,365990,1581,0.44000000000000006,4.1692
0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.36,73.33,75.0,38.07,80.88,438308,3227,0.52,3.2563999999999997
0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79,100.0,100.0,56.67,86.47,251370,1634,0.134,4.239300000000001
0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,61.42,100.0,100.0,36.53,85.53,535495,1906,0.382,3.8348
0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.97,87.63,333495,858,0.064,4.3260000000000005
0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,84.39,100.0,100.0,41.09,87.4,362793,2003,0.32599999999999996,4.1288
0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,48.77,55.56,100.0,35.44,83.09,407802,1780,0.29,3.2286
0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01,71.43,100.0,31.82,84.45,386086,1935,0.53,3.7171
0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.52,80.0,100.0,40.73,83.22,325875,2121,0.124,3.8447000000000005
0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,63.36,66.67,75.0,41.4,87.45,434801,2835,0.492,3.3388
0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44,88.89,100.0,37.15,86.54,307193,2679,0.142,4.0702
0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,82.67,80.0,100.0,41.51,83.97,454532,3003,0.182,3.8815
0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.91,76.92,90.91,34.86,84.55,680883,1586,0.5980000000000001,3.6814999999999998
0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,87.5,50.0,100.0,35.56,80.91,460532,2775,0.172,3.5397000000000003
0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,62.03,90.91,85.71,33.0,82.89,404766,2495,0.796,3.5453999999999994
0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,89.18,100.0,100.0,37.7,83.12,246165,2063,0.284,4.1
0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,84.94,66.67,100.0,37.15,86.92,482509,2962,0.246,3.7568
0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.3,81.82,83.33,38.32,84.21,161984,1471,0.33799999999999997,3.6397999999999997
0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29,66.67,66.67,33.71,88.31,136469,1544,0.262,3.2064999999999997
0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,79.14,81.82,92.31,38.83,84.55,400678,1068,0.47800000000000004,3.7664999999999997
