매장명,매장주소
본 죽&비빔밥 전농뉴타운점,서울특별시 동대문구 답십리로 77 (전농동) 1층
본 죽&비빔밥 가산디지털점,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 104-2호"
본 죽&비빔밥 회현역점,"서울특별시 중구 퇴계로 72 (회현동1가, 리더스뷰남산) 115호"
본 죽&비빔밥 남성역점,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩) 103호"
본 죽&비빔밥 논현점,"서울특별시 강남구 학동로4길 15 (논현동, 동화상가) 106호"
본 죽&비빔밥 매봉역점,서울특별시 강남구 남부순환로378길 12 (도곡동)
본 죽&비빔밥 보라매역점,서울특별시 동작구 여의대방로24가길 8 (대방동) 1층
본 죽&비빔밥 숭실대역점,서울특별시 동작구 상도로 351 (상도동) 1층
(취소)본 죽&비빔밥 구의시장점,서울특별시 광진구 광나루로 532 (구의동) 1층
본 죽&비빔밥 오목교역점,서울특별시 양천구 신목로 83 (신정동) 1층
본 죽&비빔밥 종로르메이에르점,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운1) B1층"
본 죽&비빔밥 행당동점,서울특별시 성동구 행당로 101 (행당동) 1층
본 죽&비빔밥 응암오거리점,서울특별시 은평구 가좌로 245-1 (응암동) 1층
본 죽&비빔밥 충무로역점,서울특별시 중구 서애로1길 11 (충무로5가) 충무로헤센스마트아파트상가 1층 B125호
본 죽&비빔밥 용산센트럴점,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산 더 센트럴) 지하 148호"
본 죽&비빔밥 상일2동점,"서울특별시 강동구 상일로6길 39 (상일동, 강동타워) 1층"
본 죽&비빔밥 신림역점,서울특별시 관악구 신림로 309 (신림동) 1층
본 죽&비빔밥 길음뉴타운점,"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운) 길음뉴타운상가 2동 108호"
본 죽&비빔밥 하계점,"서울특별시 노원구 노원로 248 (하계동, 삼정 이오니아) 106호"
본 죽&비빔밥 송정역점,서울특별시 강서구 공항대로 36 (공항동) 101호
본 죽&비빔밥 신반포점,"서울특별시 서초구 반포대로 287 (반포동, 래미안퍼스티지 중심상가) 1층"
본 죽&비빔밥 녹번점,서울특별시 은평구 은평로 240 (응암동) 힐스테이트 녹번역 근린생활시설 218호
본 죽&비빔밥 북아현점,"서울특별시 서대문구 신촌로35길 10 (북아현동, 이편한세상신촌) 402동 B401호"
본 죽&비빔밥 연신갈현점,서울특별시 은평구 통일로83길 6-4 (갈현동) 1층
본 죽&비빔밥 홍은1동점,서울특별시 서대문구 홍은중앙로 103 (홍은동) 1층
본 죽&비빔밥 학동역점,"서울특별시 강남구 학동로 165 (논현동, 마일스디오빌) 1층"
본 죽&비빔밥 개봉점,서울특별시 구로구 남부순환로97길 11 (개봉동) 1층
본 죽&비빔밥 구로디지털역점,서울특별시 구로구 시흥대로 557 (구로동) 1층
본 죽&비빔밥 구의점,"서울특별시 광진구 자양로 113 (자양동, 구의 현대 하이엘) 102호"
본 죽&비빔밥 외대점,서울특별시 동대문구 이문로 100 (이문동) 1층
본 죽&비빔밥 서초내곡점,"서울특별시 서초구 청계산로9길 70 (내곡동, 내곡 SH 플라자) 102호"
본 죽&비빔밥 등촌공항대로점,서울특별시 강서구 공항대로61길 14 (염창동) 1층
본 죽&비빔밥 고대구로병원점,서울특별시 구로구 구로동로29길 3 (구로동) 1층
본 죽&비빔밥 상도점,서울특별시 동작구 양녕로26길 6 (상도동) 1층
본 죽&비빔밥 목동사거리점,"서울 양천구 등촌로 32 (목동, 목동 태영프라자) 104호"
본 죽&비빔밥 신촌점,서울 서대문구 연세로 20 (창천동) 2층
본 죽&비빔밥 서울금호점,서울 성동구 독서당로 311 (금호동3가) 1층
본 죽&비빔밥 구로항동점,"서울 구로구 서해안로 2104 (항동, 엠프라자) 108호"
본 죽&비빔밥 마포롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트) 롯데캐슬프레지던트상가 지하1층 13-1호"
본 죽&비빔밥 돈암동점,서울특별시 성북구 아리랑로 6-1 (동선동4가)
본 죽&비빔밥 옥수점,"서울 성동구 한림말3길 15 (옥수동, 국민약국) 1층"
본 죽&비빔밥 여의도역점,"서울 영등포구 여의나루로 42 (여의도동, 여의도종합상가) 203,204호"
본 죽&비빔밥 은평신사점,서울 은평구 은평로 23 (신사동) 1층
본 죽&비빔밥 태릉입구역점,"서울특별시 노원구 동일로 992 (공릉동, 대화빌딩) 1층"
본 죽&비빔밥 여의홍우점,"서울 영등포구 국제금융로 78 (여의도동, 홍우빌딩) 214,215호"
본 죽&비빔밥 강남구청역점,서울 강남구 논현동 112-3 1층
본 죽&비빔밥 종로5가점,서울특별시 종로구 종로 199-1 (종로4가)
본 죽&비빔밥 합정역점,"서울 마포구 양화로 73 (서교동, 체리스빌딩) 102호"
본 죽&비빔밥 제기동역점,"서울특별시 동대문구 정릉천동로 58 (용두동, 롯데캐슬피렌체) 133호"
본 죽&비빔밥 장안동점,"서울특별시 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) 117호"
본 죽&비빔밥 사당연세사랑병원점,"서울특별시 서초구 효령로 22 (방배동, 멤버스뷰) 1층"
본 죽&비빔밥 봉화산역점,"서울특별시 중랑구 신내로 211 (신내동, 금강리빙스텔) 117호"
본 죽&비빔밥 공릉원자력병원점,"서울특별시 노원구 공릉로46길 6 (공릉동, 현대프라자) 101호"
본 죽&비빔밥 구로디지털포스트1차점,"서울 구로구 디지털로 288 (구로동, 대륭포스트타워1차) 109호"
본 죽&비빔밥 화랑대역점,"서울특별시 노원구 노원로1길 67 (공릉동, 대덕프라자) 104호"
