Player,Pos,3P,TRB,BLK
A.J. Hammons,C,0.2,1.6,0.6
Tim Hardaway,SG,1.9,2.8,0.2
Zach LaVine,SG,2.6,3.4,0.2
Victor Oladipo,SG,1.9,4.3,0.3
Patrick Beverley,SG,1.6,5.9,0.4
Marreese Speights,C,1.3,4.5,0.5
Dwyane Wade,SG,0.8,4.5,0.7
Tony Snell,SG,1.8,3.1,0.2
Edy Tavares,C,0.0,5.5,3.0
Jamal Murray,SG,1.4,2.6,0.3
Garrett Temple,SG,1.3,2.8,0.4
Alexis Ajinca,C,0.0,4.5,0.6
Denzel Valentine,SG,1.3,2.6,0.1
Ian Mahinmi,C,0.0,4.8,0.8
Channing Frye,C,1.9,3.9,0.5
J.J. Redick,SG,2.6,2.2,0.2
Tristan Thompson,C,0.0,9.2,1.1
Bismack Biyombo,C,0.0,7.0,1.1
JaVale McGee,C,0.0,3.2,0.9
Wesley Matthews,SG,2.4,3.5,0.2
Timofey Mozgov,C,0.0,4.9,0.6
Hassan Whiteside,C,0.0,14.1,2.1
DeAndre Jordan,C,0.0,13.8,1.7
Nikola Vucevic,C,0.3,10.4,1.0
Mason Plumlee,C,0.0,7.5,1.1
Jordan Crawford,SG,1.9,1.8,0.1
Robin Lopez,C,0.0,6.4,1.4
Gary Harris,SG,1.9,3.1,0.1
Nik Stauskas,SG,1.7,2.8,0.4
Klay Thompson,SG,3.4,3.7,0.5
Brook Lopez,C,1.8,5.4,1.7
Georgios Papagiannis,C,0.0,3.9,0.8
Austin Rivers,SG,1.5,2.2,0.1
Willie Cauley-Stein,C,0.0,4.5,0.6
Chris Andersen,C,0.0,2.6,0.6
Sean Kilpatrick,SG,1.5,4.0,0.1
E'Twaun Moore,SG,1.1,2.1,0.4
Kyle Korver,SG,2.4,2.8,0.3
Eric Gordon,SG,3.3,2.7,0.5
Allen Crabbe,SG,1.7,2.9,0.3
Wayne Ellington,SG,2.4,2.1,0.1
Marco Belinelli,SG,1.4,2.4,0.1
Courtney Lee,SG,1.4,3.4,0.3
Jason Smith,C,0.5,3.5,0.7
Richaun Holmes,C,0.5,5.5,1.0
Dion Waiters,SG,1.8,3.3,0.4
Marcus Smart,SG,1.2,3.9,0.4
J.R. Smith,SG,2.3,2.8,0.3
Marc Gasol,C,1.4,6.3,1.3
C.J. McCollum,SG,2.3,3.6,0.5
Myles Turner,C,0.5,7.3,2.1
Lou Williams,SG,2.0,2.5,0.2
Ben McLemore,SG,1.1,2.1,0.1
Devin Booker,SG,1.9,3.2,0.3
Salah Mejri,C,0.0,4.2,0.8
Troy Daniels,SG,2.1,1.5,0.1
Bradley Beal,SG,2.9,3.1,0.3
DeMarcus Cousins,C,1.8,11.0,1.3
John Henson,C,0.0,5.1,1.3
Dwight Howard,C,0.0,12.7,1.2
Justin Holiday,SG,1.2,2.7,0.4
Al Horford,C,1.3,6.8,1.3
Rudy Gobert,C,0.0,12.8,2.6
Avery Bradley,SG,2.0,6.1,0.2
Alex Len,C,0.0,6.6,1.3
Karl-Anthony Towns,C,1.2,12.3,1.3
Buddy Hield,SG,1.8,3.3,0.1
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Evan Fournier,SG,1.9,3.1,0.1
Dewayne Dedmon,C,0.0,6.5,0.8
Andre Drummond,C,0.0,13.8,1.1
Jordan Clarkson,SG,1.4,3.0,0.1
Manu Ginobili,SG,1.3,2.3,0.2
Marcin Gortat,C,0.0,10.4,0.7
Iman Shumpert,SG,1.2,2.9,0.4
Frank Kaminsky,C,1.5,4.5,0.5
Nikola Jokic,C,0.6,9.8,0.8
Joe Harris,SG,1.6,2.8,0.2
Jonas Valanciunas,C,0.0,9.5,0.8
Josh Richardson,SG,1.4,3.2,0.7
