기간,자치구행정동명,음료점
2015,강남구 개포1동,4
2015,강남구 개포2동,14
2015,강남구 개포4동,31
2015,강남구 논현1동,103
2015,강남구 논현2동,128
2015,강남구 대치1동,25
2015,강남구 대치2동,87
2015,강남구 대치4동,102
2015,강남구 도곡1동,42
2015,강남구 도곡2동,40
2015,강남구 삼성1동,114
2015,강남구 삼성2동,90
2015,강남구 세곡동,12
2015,강남구 수서동,22
2015,강남구 신사동_강남,140
2015,강남구 압구정동,111
2015,강남구 역삼1동,387
2015,강남구 역삼2동,86
2015,강남구 일원1동,14
2015,강남구 일원2동,10
2015,강남구 일원본동,10
2015,강남구 청담동,100
2015,강동구 강일동,16
2015,강동구 고덕1동,4
2015,강동구 고덕2동,3
2015,강동구 길동,50
2015,강동구 둔촌2동,27
2015,강동구 명일1동,44
2015,강동구 명일2동,26
2015,강동구 상일동,14
2015,강동구 성내1동,47
2015,강동구 성내2동,37
2015,강동구 성내3동,56
2015,강동구 암사1동,20
2015,강동구 암사2동,16
2015,강동구 암사3동,3
2015,강동구 천호1동,18
2015,강동구 천호2동,54
2015,강동구 천호3동,31
2015,강북구 미아동,31
2015,강북구 번1동,24
2015,강북구 번2동,5
2015,강북구 번3동,9
2015,강북구 삼각산동,15
2015,강북구 삼양동,4
2015,강북구 송중동,36
2015,강북구 송천동,28
2015,강북구 수유1동,13
2015,강북구 수유2동,9
2015,강북구 수유3동,36
2015,강북구 우이동,30
2015,강북구 인수동,31
2015,강서구 가양1동,21
2015,강서구 가양2동,4
2015,강서구 가양3동,4
2015,강서구 공항동,20
2015,강서구 등촌1동,29
2015,강서구 등촌2동,15
2015,강서구 등촌3동,48
2015,강서구 발산1동,28
2015,강서구 방화1동,35
2015,강서구 방화2동,31
2015,강서구 방화3동,10
2015,강서구 염창동,35
2015,강서구 우장산동,28
2015,강서구 화곡1동,40
2015,강서구 화곡2동,7
2015,강서구 화곡3동,29
2015,강서구 화곡4동,16
2015,강서구 화곡6동,26
2015,강서구 화곡8동,15
2015,강서구 화곡본동,11
