한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
13,38,42,9,0,20,14,5,11,0,1,1,1,5,1,2,0,1,0,21700,1.27,17087,4,490,1694,582,102.0,48.5,1,0,0,0,0
56,23,51,14,20,33,14,16,15,7,8,11,4,4,4,2,4,7,1,27354,2.51,10898,14,902,3466,1988,99.0,48.5,1,0,0,0,0
101,42,53,26,19,32,9,22,18,13,18,15,25,3,5,8,9,5,5,22135,1.49,14856,31,2403,12402,4077,98.5,43.0,1,0,0,0,0
318,18,193,100,102,98,35,32,40,34,53,23,10,11,16,18,14,13,8,25307,1.25,20246,103,5770,43779,20314,86.0,43.0,1,0,0,0,0
350,5,139,79,102,68,33,58,30,16,53,18,16,1,6,28,15,28,10,23082,1.47,15702,128,5731,65282,27341,87.5,43.25,1,0,0,0,0
46,2,67,13,7,29,8,19,12,5,11,8,1,4,7,3,2,12,6,23283,0.79,29472,25,1013,7103,3974,93.0,47.25,1,0,0,0,0
219,14,147,142,41,58,38,49,25,11,36,19,13,15,12,19,9,20,3,42565,2.0,21283,87,3579,51945,21308,95.75,45.5,1,0,0,0,0
238,8,188,71,56,78,21,51,23,28,45,22,12,3,4,22,13,26,9,21630,0.73,29630,102,3756,29049,12176,73.75,42.5,1,0,0,0,0
78,14,81,27,20,28,12,21,13,4,21,6,15,2,2,3,5,9,1,22693,1.02,22248,42,1656,19542,8015,93.0,44.0,1,0,0,0,0
96,1,88,37,26,19,14,13,13,9,18,6,9,0,2,14,7,20,2,35307,1.02,34615,40,1970,22083,8674,89.25,45.5,1,0,0,0,0
254,15,97,231,46,37,25,32,10,15,34,13,9,2,3,26,14,26,2,15531,1.94,8006,114,4292,69772,26346,88.0,51.25,1,0,0,0,0
158,18,167,50,33,56,21,39,25,10,46,19,12,7,11,15,8,20,5,31343,1.24,25277,90,3872,37420,16386,82.5,43.25,1,0,0,0,0
51,69,41,2,10,13,17,4,11,1,12,15,10,1,7,4,1,6,1,43302,6.36,6808,12,897,4598,2086,53.5,54.5,1,0,0,0,0
92,34,48,6,15,16,12,13,11,5,8,9,0,1,2,8,3,7,2,15732,1.43,11001,22,1650,16875,6282,96.25,49.25,1,0,0,0,0
261,4,105,397,85,79,19,51,13,26,35,13,5,4,11,23,8,47,5,18570,1.89,9825,140,4958,29398,15240,82.5,45.25,1,0,0,0,0
224,4,89,349,98,141,31,45,21,14,38,12,5,3,5,20,7,28,2,28735,2.53,11358,111,4360,34695,18755,91.5,44.0,1,0,0,0,0
866,15,580,230,237,147,69,116,63,79,144,60,20,3,7,59,37,47,30,36450,2.35,15511,387,15116,154595,63195,78.75,41.0,1,0,0,0,0
170,11,185,50,21,35,30,31,25,8,38,16,6,8,8,18,12,15,7,36314,1.15,31577,86,3489,40726,16037,81.0,42.25,1,0,0,0,0
80,326,20,14,27,20,16,13,9,21,8,15,11,3,5,4,6,4,9,17627,0.92,19160,14,1917,6527,2216,95.25,46.75,1,0,0,0,0
34,21,25,8,4,13,6,7,7,0,5,4,0,0,4,3,0,4,1,16621,1.24,13404,10,646,8585,2396,97.5,50.25,1,0,0,0,0
15,22,37,6,4,21,15,11,14,0,7,2,1,4,3,1,0,4,1,25350,2.58,9826,10,526,8164,5708,91.75,45.75,1,0,0,0,0
185,5,122,165,73,141,25,31,25,11,50,11,10,4,5,18,6,31,4,31129,2.33,13360,100,4597,43578,22402,84.5,44.75,1,0,0,0,0
26,131,22,3,7,18,11,10,12,2,15,4,9,2,5,4,2,8,2,34023,2.8,12151,16,912,16424,3548,51.75,36.25,1,0,0,0,0
32,75,34,3,16,18,11,8,8,4,6,3,5,2,4,4,1,1,1,16548,1.73,9565,4,581,1959,954,91.75,47.5,1,0,0,0,0
46,97,24,11,13,18,16,16,2,5,3,7,12,12,7,4,2,2,4,9223,2.01,4589,3,1798,3214,977,109.0,52.0,1,0,0,0,0
269,246,138,70,161,119,37,40,39,42,44,21,30,26,23,20,16,15,13,51720,2.17,23834,50,3968,19939,9479,88.5,42.5,1,0,0,0,0
92,128,57,24,39,57,15,18,20,15,14,10,13,3,10,8,4,6,4,28988,0.98,29580,27,1565,9063,4378,90.25,43.0,1,0,0,0,0
108,70,56,87,34,62,22,36,14,20,17,16,10,29,14,6,11,13,3,23430,0.61,38410,44,1655,6003,3544,93.25,44.5,1,0,0,0,0
