,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
0,2015,강남구 개포1동,13,38,42,9,0,20,14,5,11,0,1,1,1,5,1,2,0,1,0
1,2015,강남구 개포2동,56,23,51,14,20,33,14,16,15,7,8,11,4,4,4,2,4,7,1
2,2015,강남구 개포4동,101,42,53,26,19,32,9,22,18,13,18,15,25,3,5,8,9,5,5
3,2015,강남구 논현1동,318,18,193,100,102,98,35,32,40,34,53,23,10,11,16,18,14,13,8
4,2015,강남구 논현2동,350,5,139,79,102,68,33,58,30,16,53,18,16,1,6,28,15,28,10
5,2015,강남구 대치1동,46,2,67,13,7,29,8,19,12,5,11,8,1,4,7,3,2,12,6
6,2015,강남구 대치2동,219,14,147,142,41,58,38,49,25,11,36,19,13,15,12,19,9,20,3
7,2015,강남구 대치4동,238,8,188,71,56,78,21,51,23,28,45,22,12,3,4,22,13,26,9
8,2015,강남구 도곡1동,78,14,81,27,20,28,12,21,13,4,21,6,15,2,2,3,5,9,1
9,2015,강남구 도곡2동,96,1,88,37,26,19,14,13,13,9,18,6,9,0,2,14,7,20,2
10,2015,강남구 삼성1동,254,15,97,231,46,37,25,32,10,15,34,13,9,2,3,26,14,26,2
11,2015,강남구 삼성2동,158,18,167,50,33,56,21,39,25,10,46,19,12,7,11,15,8,20,5
12,2015,강남구 세곡동,51,69,41,2,10,13,17,4,11,1,12,15,10,1,7,4,1,6,1
13,2015,강남구 수서동,92,34,48,6,15,16,12,13,11,5,8,9,0,1,2,8,3,7,2
14,2015,강남구 신사동,261,4,105,397,85,79,19,51,13,26,35,13,5,4,11,23,8,47,5
15,2015,강남구 압구정동,224,4,89,349,98,141,31,45,21,14,38,12,5,3,5,20,7,28,2
16,2015,강남구 역삼1동,866,15,580,230,237,147,69,116,63,79,144,60,20,3,7,59,37,47,30
17,2015,강남구 역삼2동,170,11,185,50,21,35,30,31,25,8,38,16,6,8,8,18,12,15,7
18,2015,강남구 일원1동,80,326,20,14,27,20,16,13,9,21,8,15,11,3,5,4,6,4,9
19,2015,강남구 일원2동,34,21,25,8,4,13,6,7,7,0,5,4,0,0,4,3,0,4,1
20,2015,강남구 일원본동,15,22,37,6,4,21,15,11,14,0,7,2,1,4,3,1,0,4,1
21,2015,강남구 청담동,185,5,122,165,73,141,25,31,25,11,50,11,10,4,5,18,6,31,4
22,2015,강동구 강일동,26,131,22,3,7,18,11,10,12,2,15,4,9,2,5,4,2,8,2
23,2015,강동구 고덕1동,32,75,34,3,16,18,11,8,8,4,6,3,5,2,4,4,1,1,1
24,2015,강동구 고덕2동,46,97,24,11,13,18,16,16,2,5,3,7,12,12,7,4,2,2,4
25,2015,강동구 길동,269,246,138,70,161,119,37,40,39,42,44,21,30,26,23,20,16,15,13
26,2015,강동구 둔촌2동,92,128,57,24,39,57,15,18,20,15,14,10,13,3,10,8,4,6,4
27,2015,강동구 명일1동,108,70,56,87,34,62,22,36,14,20,17,16,10,29,14,6,11,13,3
28,2015,강동구 명일2동,60,29,37,105,24,31,14,26,14,8,11,4,5,3,5,2,6,17,9
29,2015,강동구 상일동,66,141,46,3,34,17,26,10,12,8,10,9,6,6,5,4,4,5,2
30,2015,강동구 성내1동,130,81,43,15,44,27,17,24,17,12,17,7,19,3,5,7,9,5,0
31,2015,강동구 성내2동,133,88,77,24,70,79,24,26,19,28,18,13,16,12,8,13,7,13,5
32,2015,강동구 성내3동,183,88,73,49,104,73,16,37,21,34,26,17,23,18,17,15,15,12,11
33,2015,강동구 암사1동,119,208,56,46,62,82,34,28,30,26,17,11,12,23,17,7,10,8,6
34,2015,강동구 암사2동,52,85,39,10,13,26,15,10,9,6,8,2,4,4,3,3,3,9,3
35,2015,강동구 암사3동,16,76,25,12,3,18,11,10,6,0,3,5,5,5,5,0,0,5,0
36,2015,강동구 천호1동,70,148,47,46,37,58,27,16,21,7,15,12,13,3,10,6,4,8,4
37,2015,강동구 천호2동,269,175,91,393,145,84,56,39,34,33,34,13,28,28,25,19,11,10,8
38,2015,강동구 천호3동,102,116,57,117,78,50,32,25,24,13,18,12,10,10,7,6,7,4,6
39,2015,강북구 미아동,139,101,73,51,79,73,27,21,20,22,24,13,9,10,8,8,7,9,5
