,기간,자치구행정동명,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,서울운영평균,서울시폐업평균
0,2015,강남구 개포1동,4,490,1694,582,102.0,48.5,94.75,47.0
1,2015,강남구 개포2동,14,902,3466,1988,99.0,48.5,94.75,47.0
2,2015,강남구 개포4동,31,2403,12402,4077,98.5,43.0,94.75,47.0
3,2015,강남구 논현1동,103,5770,43779,20314,86.0,43.0,94.75,47.0
4,2015,강남구 논현2동,128,5731,65282,27341,87.5,43.25,94.75,47.0
5,2015,강남구 대치1동,25,1013,7103,3974,93.0,47.25,94.75,47.0
6,2015,강남구 대치2동,87,3579,51945,21308,95.75,45.5,94.75,47.0
7,2015,강남구 대치4동,102,3756,29049,12176,73.75,42.5,94.75,47.0
8,2015,강남구 도곡1동,42,1656,19542,8015,93.0,44.0,94.75,47.0
9,2015,강남구 도곡2동,40,1970,22083,8674,89.25,45.5,94.75,47.0
10,2015,강남구 삼성1동,114,4292,69772,26346,88.0,51.25,94.75,47.0
11,2015,강남구 삼성2동,90,3872,37420,16386,82.5,43.25,94.75,47.0
12,2015,강남구 세곡동,12,897,4598,2086,53.5,54.5,94.75,47.0
13,2015,강남구 수서동,22,1650,16875,6282,96.25,49.25,94.75,47.0
14,2015,강남구 신사동_강남,140,4958,29398,15240,82.5,45.25,94.75,47.0
15,2015,강남구 압구정동,111,4360,34695,18755,91.5,44.0,94.75,47.0
16,2015,강남구 역삼1동,387,15116,154595,63195,78.75,41.0,94.75,47.0
17,2015,강남구 역삼2동,86,3489,40726,16037,81.0,42.25,94.75,47.0
18,2015,강남구 일원1동,14,1917,6527,2216,95.25,46.75,94.75,47.0
19,2015,강남구 일원2동,10,646,8585,2396,97.5,50.25,94.75,47.0
20,2015,강남구 일원본동,10,526,8164,5708,91.75,45.75,94.75,47.0
21,2015,강남구 청담동,100,4597,43578,22402,84.5,44.75,94.75,47.0
22,2015,강동구 강일동,16,912,16424,3548,51.75,36.25,94.75,47.0
23,2015,강동구 고덕1동,4,581,1959,954,91.75,47.5,94.75,47.0
24,2015,강동구 고덕2동,3,1798,3214,977,109.0,52.0,94.75,47.0
25,2015,강동구 길동,50,3968,19939,9479,88.5,42.5,94.75,47.0
26,2015,강동구 둔촌2동,27,1565,9063,4378,90.25,43.0,94.75,47.0
