,기간,자치구행정동명,인구,면적,인구밀도
0,2015,강남구 개포1동,21700,1.27,17087
1,2015,강남구 개포2동,27354,2.51,10898
2,2015,강남구 개포4동,22135,1.49,14856
3,2015,강남구 논현1동,25307,1.25,20246
4,2015,강남구 논현2동,23082,1.47,15702
5,2015,강남구 대치1동,23283,0.79,29472
6,2015,강남구 대치2동,42565,2.0,21283
7,2015,강남구 대치4동,21630,0.73,29630
8,2015,강남구 도곡1동,22693,1.02,22248
9,2015,강남구 도곡2동,35307,1.02,34615
10,2015,강남구 삼성1동,15531,1.94,8006
11,2015,강남구 삼성2동,31343,1.24,25277
12,2015,강남구 세곡동,43302,6.36,6808
13,2015,강남구 수서동,15732,1.43,11001
14,2015,강남구 신사동,18570,1.89,9825
15,2015,강남구 압구정동,28735,2.53,11358
16,2015,강남구 역삼1동,36450,2.35,15511
17,2015,강남구 역삼2동,36314,1.15,31577
18,2015,강남구 일원1동,17627,0.92,19160
19,2015,강남구 일원2동,16621,1.24,13404
20,2015,강남구 일원본동,25350,2.58,9826
21,2015,강남구 청담동,31129,2.33,13360
22,2015,강동구 강일동,34023,2.8,12151
23,2015,강동구 고덕1동,16548,1.73,9565
24,2015,강동구 고덕2동,9223,2.01,4589
25,2015,강동구 길동,51720,2.17,23834
26,2015,강동구 둔촌1동,19264,0.92,20939
27,2015,강동구 둔촌2동,28988,0.98,29580
28,2015,강동구 명일1동,23430,0.61,38410
29,2015,강동구 명일2동,18672,0.97,19249
30,2015,강동구 상일동,24471,2.65,9234
31,2015,강동구 성내1동,19657,0.58,33891
32,2015,강동구 성내2동,26227,0.67,39145
33,2015,강동구 성내3동,25189,0.71,35477
34,2015,강동구 암사1동,37753,1.02,37013
35,2015,강동구 암사2동,16159,1.18,13694
36,2015,강동구 암사3동,19249,2.51,7669
37,2015,강동구 천호1동,29636,0.71,41741
38,2015,강동구 천호2동,37065,1.57,23608
39,2015,강동구 천호3동,26047,0.79,32971
40,2015,강북구 미아동,23756,0.73,32542
41,2015,강북구 번1동,20541,0.55,37347
42,2015,강북구 번2동,18746,1.25,14997
43,2015,강북구 번3동,20235,0.86,23529
44,2015,강북구 삼각산동,34782,0.62,56100
45,2015,강북구 삼양동,30085,0.95,31668
46,2015,강북구 송중동,31068,1.22,25466
47,2015,강북구 송천동,30453,0.88,34606
48,2015,강북구 수유1동,22927,1.07,21427
49,2015,강북구 수유2동,22644,0.73,31019
50,2015,강북구 수유3동,23953,0.86,27852
51,2015,강북구 우이동,21904,10.95,2000
52,2015,강북구 인수동,33332,2.93,11376
53,2015,강서구 가양1동,24996,4.7,5318
54,2015,강서구 가양2동,16775,1.0,16775
55,2015,강서구 가양3동,17696,0.99,17875
56,2015,강서구 공항동,21088,10.87,1940
57,2015,강서구 등촌1동,22726,0.59,38519
58,2015,강서구 등촌2동,21706,0.92,23593
59,2015,강서구 등촌3동,35567,0.79,45022
60,2015,강서구 발산1동,40424,2.96,13657
61,2015,강서구 방화1동,43914,1.04,42225
62,2015,강서구 방화2동,25212,6.41,3933
63,2015,강서구 방화3동,26257,2.38,11032
64,2015,강서구 염창동,42118,1.74,24206
65,2015,강서구 우장산동,47069,1.36,34610
66,2015,강서구 화곡1동,53295,1.12,47585
67,2015,강서구 화곡2동,20246,0.47,43077
68,2015,강서구 화곡3동,23556,0.51,46188
69,2015,강서구 화곡4동,23382,0.82,28515
70,2015,강서구 화곡6동,25778,1.12,23016
71,2015,강서구 화곡8동,27311,0.53,51530
72,2015,강서구 화곡본동,36575,1.11,32950
73,2015,관악구 낙성대동,18368,2.27,8092
74,2015,관악구 난곡동,30810,0.96,32094
75,2015,관악구 난향동,17257,0.8,21571
76,2015,관악구 남현동,18568,3.27,5678
77,2015,관악구 대학동,23766,8.3,2863
78,2015,관악구 미성동,34030,1.38,24659
79,2015,관악구 보라매동,26976,0.76,35495
80,2015,관악구 삼성동,28164,2.66,10588
81,2015,관악구 서림동,25468,0.99,25725
82,2015,관악구 서원동,24108,0.65,37089
83,2015,관악구 성현동,34294,0.68,50432
84,2015,관악구 신림동,20867,0.54,38643
85,2015,관악구 신사동,26976,0.64,42150
86,2015,관악구 신원동,20389,0.55,37071
87,2015,관악구 은천동,36699,0.78,47050
88,2015,관악구 인헌동,28098,1.08,26017
89,2015,관악구 조원동,20489,0.67,30581
90,2015,관악구 중앙동,15359,0.39,39382
91,2015,관악구 청룡동,30849,1.18,26143
92,2015,관악구 청림동,17128,0.3,57093
93,2015,관악구 행운동,30368,0.72,42178
94,2015,광진구 광장동,36917,2.39,15446
95,2015,광진구 구의1동,23510,0.56,41982
96,2015,광진구 구의2동,25879,1.39,18618
97,2015,광진구 구의3동,30067,1.02,29477
98,2015,광진구 군자동,22091,0.74,29853
99,2015,광진구 능동,11712,1.1,10647
100,2015,광진구 자양1동,24151,0.57,42370
101,2015,광진구 자양2동,27877,1.68,16593
102,2015,광진구 자양3동,31227,1.2,26023
103,2015,광진구 자양4동,28033,1.16,24166
104,2015,광진구 중곡1동,16526,0.62,26655
105,2015,광진구 중곡2동,22610,0.55,41109
106,2015,광진구 중곡3동,18120,0.6,30200
107,2015,광진구 중곡4동,32041,2.32,13811
108,2015,광진구 화양동,24419,1.16,21051
109,2015,구로구 가리봉동,18934,0.4,47335
110,2015,구로구 개봉1동,36032,1.31,27505
111,2015,구로구 개봉2동,34765,0.8,43456
112,2015,구로구 개봉3동,22472,0.81,27743
113,2015,구로구 고척1동,25646,1.16,22109
114,2015,구로구 고척2동,30491,1.02,29893
115,2015,구로구 구로1동,22886,1.02,22437
116,2015,구로구 구로2동,38125,1.76,21662
117,2015,구로구 구로3동,28449,1.02,27891
118,2015,구로구 구로4동,29517,0.46,64167
119,2015,구로구 구로5동,34993,1.03,33974
120,2015,구로구 수궁동,25832,2.67,9675
121,2015,구로구 신도림동,38233,1.47,26009
122,2015,구로구 오류1동,21999,0.59,37286
123,2015,구로구 오류2동,46230,4.6,10050
124,2015,금천구 가산동,23926,2.5,9570
125,2015,금천구 독산1동,34010,2.09,16273
126,2015,금천구 독산2동,23644,0.6,39407
127,2015,금천구 독산3동,32016,0.92,34800
128,2015,금천구 독산4동,19806,0.59,33569
129,2015,금천구 시흥1동,38520,1.71,22526
130,2015,금천구 시흥2동,24445,1.26,19401
131,2015,금천구 시흥3동,12689,1.07,11859
132,2015,금천구 시흥4동,23953,0.87,27532
133,2015,금천구 시흥5동,23158,1.39,16660
134,2015,노원구 공릉1동,39942,1.41,28328
135,2015,노원구 공릉2동,45297,6.82,6642
136,2015,노원구 상계10동,19709,0.8,24636
137,2015,노원구 상계1동,42935,5.62,7640
138,2015,노원구 상계2동,22250,0.61,36475
139,2015,노원구 상계3.4동,31990,5.62,5692
140,2015,노원구 상계5동,28084,0.44,63827
141,2015,노원구 상계6.7동,35872,1.11,32317
142,2015,노원구 상계8동,26026,0.67,38845
143,2015,노원구 상계9동,23848,0.81,29442
144,2015,노원구 월계1동,22875,1.16,19720
145,2015,노원구 월계2동,28708,1.94,14798
146,2015,노원구 월계3동,34528,1.17,29511
147,2015,노원구 중계1동,29782,0.63,47273
148,2015,노원구 중계2.3동,40388,0.9,44876
149,2015,노원구 중계4동,22707,1.7,13357
150,2015,노원구 중계본동,28567,1.97,14501
151,2015,노원구 하계1동,29635,1.55,19119
152,2015,노원구 하계2동,25078,0.51,49173
153,2015,도봉구 도봉1동,23526,8.72,2698
154,2015,도봉구 도봉2동,29771,0.83,35869
155,2015,도봉구 방학1동,31622,0.69,45829
156,2015,도봉구 방학2동,22631,0.74,30582
157,2015,도봉구 방학3동,30909,2.64,11708
158,2015,도봉구 쌍문1동,22590,1.24,18218
159,2015,도봉구 쌍문2동,21294,0.54,39433
160,2015,도봉구 쌍문3동,18028,0.5,36056
161,2015,도봉구 쌍문4동,21102,0.52,40581
162,2015,도봉구 창1동,27881,0.88,31683
163,2015,도봉구 창2동,31123,1.07,29087
164,2015,도봉구 창3동,15821,0.67,23613
165,2015,도봉구 창4동,29838,0.96,31081
166,2015,도봉구 창5동,27105,0.7,38721
167,2015,동대문구 답십리1동,26582,0.84,31645
168,2015,동대문구 답십리2동,29504,0.8,36880
169,2015,동대문구 용신동,33210,1.61,20627
170,2015,동대문구 이문1동,32433,1.04,31186
171,2015,동대문구 이문2동,22888,0.69,33171
172,2015,동대문구 장안1동,38017,1.25,30414
173,2015,동대문구 장안2동,32289,1.09,29623
174,2015,동대문구 전농1동,31254,1.21,25830
175,2015,동대문구 전농2동,21234,0.86,24691
176,2015,동대문구 제기동,28850,1.18,24449
177,2015,동대문구 청량리동,24019,1.2,20016
178,2015,동대문구 회기동,12524,0.76,16479
179,2015,동대문구 휘경1동,15501,0.63,24605
180,2015,동대문구 휘경2동,25519,1.05,24304
181,2015,동작구 노량진1동,33850,1.58,21424
182,2015,동작구 노량진2동,15374,0.65,23652
183,2015,동작구 대방동,40321,1.55,26014
184,2015,동작구 사당1동,23877,0.79,30224
185,2015,동작구 사당2동,30939,2.75,11251
186,2015,동작구 사당3동,24835,0.92,26995
187,2015,동작구 사당4동,15279,0.38,40208
188,2015,동작구 사당5동,13718,0.57,24067
189,2015,동작구 상도1동,48387,1.51,32044
190,2015,동작구 상도2동,24880,0.97,25649
191,2015,동작구 상도3동,25490,0.6,42483
192,2015,동작구 상도4동,30151,0.75,40201
193,2015,동작구 신대방1동,28145,0.62,45395
194,2015,동작구 신대방2동,21587,1.03,20958
195,2015,동작구 흑석동,35941,1.68,21393
196,2015,마포구 공덕동,39391,1.01,39001
197,2015,마포구 대흥동,15405,0.88,17506
198,2015,마포구 도화동,23403,0.62,37747
199,2015,마포구 망원1동,22751,1.14,19957
200,2015,마포구 망원2동,20809,0.67,31058
201,2015,마포구 상암동,33875,8.4,4033
202,2015,마포구 서강동,26655,1.45,18383
203,2015,마포구 서교동,28125,1.65,17045
204,2015,마포구 성산1동,21272,0.8,26590
205,2015,마포구 성산2동,40265,2.07,19452
206,2015,마포구 신수동,20230,0.78,25936
207,2015,마포구 아현동,28884,0.76,38005
208,2015,마포구 연남동,19157,0.65,29472
209,2015,마포구 염리동,16005,0.43,37221
210,2015,마포구 용강동,22138,0.84,26355
211,2015,마포구 합정동,19986,1.69,11826
212,2015,서대문구 남가좌1동,11293,0.51,22143
213,2015,서대문구 남가좌2동,27549,0.77,35778
214,2015,서대문구 북가좌1동,19844,0.52,38162
215,2015,서대문구 북가좌2동,34629,0.84,41225
216,2015,서대문구 북아현동,11154,0.46,24248
217,2015,서대문구 신촌동,22545,2.63,8572
218,2015,서대문구 연희동,41860,3.05,13725
219,2015,서대문구 천연동,20114,0.97,20736
220,2015,서대문구 충현동,19376,1.12,17300
221,2015,서대문구 홍은1동,24842,1.58,15723
222,2015,서대문구 홍은2동,30401,2.06,14758
223,2015,서대문구 홍제1동,24438,1.23,19868
224,2015,서대문구 홍제2동,15446,1.05,14710
225,2015,서대문구 홍제3동,19614,0.81,24215
226,2015,서초구 내곡동,18742,12.68,1478
227,2015,서초구 반포1동,30849,1.0,30849
228,2015,서초구 반포2동,19881,1.35,14727
229,2015,서초구 반포3동,20920,1.28,16344
230,2015,서초구 반포4동,20745,1.43,14507
231,2015,서초구 반포본동,13317,1.01,13185
232,2015,서초구 방배1동,17538,0.7,25054
233,2015,서초구 방배2동,28361,1.93,14695
234,2015,서초구 방배3동,24400,2.4,10167
235,2015,서초구 방배4동,26446,0.98,26986
236,2015,서초구 방배본동,22153,0.67,33064
237,2015,서초구 서초1동,21385,1.42,15060
238,2015,서초구 서초2동,21467,1.24,17312
239,2015,서초구 서초3동,30491,2.93,10406
240,2015,서초구 서초4동,29056,0.88,33018
241,2015,서초구 양재1동,47859,5.76,8309
242,2015,서초구 양재2동,23633,7.58,3118
243,2015,서초구 잠원동,34015,1.76,19327
244,2015,성동구 금호1가동,13780,0.46,29957
245,2015,성동구 금호2.3가동,22962,0.64,35878
246,2015,성동구 금호4가동,14771,0.84,17585
247,2015,성동구 마장동,25060,1.06,23642
248,2015,성동구 사근동,12947,1.11,11664
249,2015,성동구 성수1가1동,17557,1.98,8867
250,2015,성동구 성수1가2동,17486,0.89,19647
251,2015,성동구 성수2가1동,20080,1.18,17017
252,2015,성동구 성수2가3동,12251,1.03,11894
253,2015,성동구 송정동,12063,0.68,17740
254,2015,성동구 옥수동,23281,1.95,11939
255,2015,성동구 왕십리2동,16540,0.41,40341
256,2015,성동구 왕십리도선동,20808,0.72,28900
257,2015,성동구 용답동,17207,2.32,7417
258,2015,성동구 응봉동,17019,0.57,29858
259,2015,성동구 행당1동,15129,0.59,25642
260,2015,성동구 행당2동,26124,0.42,62200
261,2015,성북구 길음1동,38048,0.79,48162
262,2015,성북구 길음2동,16300,0.58,28103
263,2015,성북구 돈암1동,17222,0.49,35147
264,2015,성북구 돈암2동,23722,0.48,49421
265,2015,성북구 동선동,16974,0.73,23252
266,2015,성북구 보문동,15018,0.56,26818
267,2015,성북구 삼선동,27936,0.92,30365
268,2015,성북구 석관동,35725,1.73,20650
269,2015,성북구 성북동,18536,2.86,6481
270,2015,성북구 안암동,18022,1.33,13550
271,2015,성북구 월곡1동,28751,0.81,35495
272,2015,성북구 월곡2동,21483,1.36,15796
273,2015,성북구 장위1동,23502,0.7,33574
274,2015,성북구 장위2동,20950,0.67,31269
275,2015,성북구 장위3동,14165,0.65,21792
276,2015,성북구 정릉1동,19372,0.44,44027
277,2015,성북구 정릉2동,24644,1.17,21063
278,2015,성북구 정릉3동,17801,3.71,4798
279,2015,성북구 정릉4동,27893,3.13,8912
280,2015,성북구 종암동,43496,1.46,29792
281,2015,송파구 가락1동,968,1.34,722
282,2015,송파구 가락2동,35434,0.96,36910
283,2015,송파구 가락본동,28918,1.13,25591
284,2015,송파구 거여1동,15228,0.51,29859
285,2015,송파구 거여2동,24101,0.53,45474
286,2015,송파구 마천1동,23255,0.58,40095
287,2015,송파구 마천2동,21683,0.89,24363
288,2015,송파구 문정1동,22013,0.56,39309
289,2015,송파구 문정2동,18824,2.2,8556
290,2015,송파구 방이1동,16617,0.5,33234
291,2015,송파구 방이2동,25848,0.8,32310
292,2015,송파구 삼전동,34293,0.95,36098
293,2015,송파구 석촌동,35478,0.95,37345
294,2015,송파구 송파1동,27046,0.79,34235
295,2015,송파구 송파2동,22275,0.53,42028
296,2015,송파구 오금동,37291,1.65,22601
297,2015,송파구 오륜동,19999,3.17,6309
298,2015,송파구 위례동,12030,2.55,4718
299,2015,송파구 잠실2동,37033,2.18,16988
300,2015,송파구 잠실3동,37094,1.49,24895
301,2015,송파구 잠실4동,30924,1.56,19823
302,2015,송파구 잠실6동,17826,2.79,6389
303,2015,송파구 잠실7동,10433,0.6,17388
304,2015,송파구 잠실본동,30898,0.94,32870
305,2015,송파구 장지동,35930,1.37,26226
306,2015,송파구 풍납1동,18782,0.77,24392
307,2015,송파구 풍납2동,27259,1.59,17144
308,2015,양천구 목1동,33380,1.41,23674
309,2015,양천구 목2동,31694,1.03,30771
310,2015,양천구 목3동,22050,0.53,41604
311,2015,양천구 목4동,28044,0.57,49200
312,2015,양천구 목5동,44545,1.81,24610
313,2015,양천구 신월1동,23851,0.65,36694
314,2015,양천구 신월2동,23422,0.61,38397
315,2015,양천구 신월3동,18461,0.87,21220
316,2015,양천구 신월4동,19914,0.52,38296
317,2015,양천구 신월5동,16490,0.69,23899
318,2015,양천구 신월6동,11841,0.41,28880
319,2015,양천구 신월7동,23919,1.19,20100
320,2015,양천구 신정1동,18979,0.7,27113
321,2015,양천구 신정2동,21953,0.52,42217
322,2015,양천구 신정3동,55866,2.72,20539
323,2015,양천구 신정4동,36196,1.01,35838
324,2015,양천구 신정6동,26375,0.96,27474
325,2015,양천구 신정7동,32030,1.21,26471
326,2015,영등포구 당산1동,21433,0.75,28577
327,2015,영등포구 당산2동,36016,1.55,23236
328,2015,영등포구 대림1동,18946,0.49,38665
329,2015,영등포구 대림2동,24461,0.55,44475
330,2015,영등포구 대림3동,31178,1.0,31178
331,2015,영등포구 도림동,23650,0.89,26573
332,2015,영등포구 문래동,32126,1.49,21561
333,2015,영등포구 신길1동,22246,0.66,33706
334,2015,영등포구 신길3동,16576,0.48,34533
335,2015,영등포구 신길4동,13186,0.35,37674
336,2015,영등포구 신길5동,17854,0.47,37987
337,2015,영등포구 신길6동,23903,0.68,35151
338,2015,영등포구 신길7동,15212,0.64,23769
339,2015,영등포구 양평1동,17334,0.88,19698
340,2015,영등포구 양평2동,22227,3.0,7409
341,2015,영등포구 여의동,34094,8.41,4054
342,2015,영등포구 영등포동,20471,1.26,16247
343,2015,영등포구 영등포본동,26898,1.02,26371
344,2015,용산구 남영동,8643,1.19,7263
345,2015,용산구 보광동,17289,0.71,24351
346,2015,용산구 서빙고동,14342,2.8,5122
347,2015,용산구 용문동,13027,0.28,46525
348,2015,용산구 용산2가동,13106,1.96,6687
349,2015,용산구 원효로1동,14330,0.59,24288
350,2015,용산구 원효로2동,15709,0.71,22125
351,2015,용산구 이촌1동,29002,2.86,10141
352,2015,용산구 이촌2동,9663,1.22,7920
353,2015,용산구 이태원1동,9030,0.57,15842
354,2015,용산구 이태원2동,11154,0.86,12970
355,2015,용산구 청파동,22366,0.91,24578
356,2015,용산구 한강로동,16424,2.9,5663
357,2015,용산구 한남동,24324,3.01,8081
358,2015,용산구 효창동,9816,0.44,22309
359,2015,용산구 후암동,19684,0.86,22888
360,2015,은평구 갈현1동,25892,0.97,26693
361,2015,은평구 갈현2동,30309,0.96,31572
362,2015,은평구 구산동,34330,1.38,24877
363,2015,은평구 녹번동,32347,1.79,18071
364,2015,은평구 대조동,33327,0.85,39208
365,2015,은평구 불광1동,42770,3.13,13665
366,2015,은평구 불광2동,29328,1.38,21252
367,2015,은평구 수색동,16723,1.29,12964
368,2015,은평구 신사1동,28541,0.84,33977
369,2015,은평구 신사2동,22193,1.0,22193
370,2015,은평구 역촌동,49903,1.16,43020
371,2015,은평구 응암1동,32806,1.2,27338
372,2015,은평구 응암2동,23264,0.78,29826
373,2015,은평구 응암3동,27254,0.63,43260
374,2015,은평구 증산동,19978,0.81,24664
375,2015,은평구 진관동,53613,11.52,4654
376,2015,종로구 가회동,4961,0.54,9187
377,2015,종로구 교남동,4875,0.35,13929
378,2015,종로구 무악동,8619,0.36,23942
379,2015,종로구 부암동,11217,2.27,4941
380,2015,종로구 사직동,10033,1.23,8157
381,2015,종로구 삼청동,3174,1.49,2130
382,2015,종로구 숭인1동,7232,0.23,31443
383,2015,종로구 숭인2동,9983,0.35,28523
384,2015,종로구 이화동,9216,0.78,11815
385,2015,종로구 종로1.2.3.4가동,8786,2.35,3739
386,2015,종로구 종로5·6가동,6057,0.6,10095
387,2015,종로구 창신1동,6862,0.31,22135
388,2015,종로구 창신2동,11040,0.26,42462
389,2015,종로구 창신3동,7933,0.23,34491
390,2015,종로구 청운효자동,14354,2.57,5585
391,2015,종로구 평창동,19414,8.87,2189
392,2015,종로구 혜화동,20066,1.12,17916
393,2015,중구 광희동,5817,0.74,7861
394,2015,중구 다산동,16004,0.51,31380
395,2015,중구 동화동,11683,0.26,44935
396,2015,중구 명동,3521,0.99,3557
397,2015,중구 소공동,1869,0.95,1967
398,2015,중구 신당5동,10449,0.39,26792
399,2015,중구 신당동,9042,0.55,16440
400,2015,중구 약수동,19002,0.48,39588
401,2015,중구 을지로동,1854,0.6,3090
