artist,title,new_filename
Pierre-Auguste Renoir,Victor Chocquet,100006.jpg
Rene Magritte,The voice of space,100022.jpg
Amedeo Modigliani,A red bust,100030.jpg
Vincent van Gogh,Cypresses and Two Women,100031.jpg
Alfred Sisley,"Factory in the Flood, Bougival",100044.jpg
Salvador Dali,Desoxyribonucleic Acid Arabs,100057.jpg
Gustave Courbet,View of Ornans and Its Church Steeple,100068.jpg
Peter Paul Rubens,Perseus Freeing Andromeda,100094.jpg
Edgar Degas,Pink Dancer,100106.jpg
Titian,Madonna and Child with Mary Magdalene,10011.jpg
Alfred Sisley,Seine at Bougival,100125.jpg
Edgar Degas,"Three Dancers, Blue Skirts, Red Blouses",10013.jpg
Camille Pissarro,"The Seine at Paris, Pont Royal",100132.jpg
Alfred Sisley,Winter Morning Veneux,100136.jpg
Paul Cezanne,Self-portrait in front of pink background,100152.jpg
Paul Klee,Windows and palm trees ,100154.jpg
Pierre-Auguste Renoir,Bouquet of Flowers,100159.jpg
Andy Warhol,Mammy,100162.jpg
Marc Chagall, Peasant with a violin,100167.jpg
Salvador Dali,"The True Painting of the ""Isle of the Dead"" by Arnold Böcklin at the Hour of the Angelus",100192.jpg
Francisco Goya,Love and Death,100199.jpg
Hieronymus Bosch,The Garden of Earthly Delights  (detail),100204.jpg
Alfred Sisley,The village of Sablons,10021.jpg
Claude Monet,"Morning on the Seine, near Vetheuil",100211.jpg
Henri de Toulouse-Lautrec,"Girl in a Fur, Mademoiselle Jeanne Fontaine",100230.jpg
Joan Miro,Man and Woman in Front of a Pile of Excrement,100241.jpg
Edouard Manet,Young woman with a book,100242.jpg
Amedeo Modigliani,Pierrot (Self Portrait as Pierrot),100250.jpg
Camille Pissarro,Roses of Nice,100253.jpg
Camille Pissarro,"View of l'Hermitage, Jallais Hills, Pontoise",100260.jpg
Hieronymus Bosch,The Ship of Fools,10027.jpg
Andrei Rublev,St. Matthew the Evangelist,100272.jpg
Alfred Sisley,Church of Moret,100277.jpg
Amedeo Modigliani,Portrait of Leon Bakst,100280.jpg
Paul Cezanne,Road,100283.jpg
Sandro Botticelli,Madonna and Child,100284.jpg
Andy Warhol,Princess Caroline Of Monaco,100312.jpg
Camille Pissarro,Haystack Eragny,100318.jpg
Claude Monet,Morning on the Seine,100323.jpg
Edouard Manet,The Port of Bordeaux,100327.jpg
Eugene Delacroix,The Muse of Orpheus,100352.jpg
Paul Cezanne,Still Life with Apples,100388.jpg
Henri Matisse,"Reclining Nude, back ",100399.jpg
Amedeo Modigliani,Raimondo,100404.jpg
Gustave Courbet,Hector Berlioz,100405.jpg
Camille Pissarro,Vase of Flowers,100408.jpg
Henri de Toulouse-Lautrec,Lo e Fuller in ,100409.jpg
Titian,Portrait of Jacopo Strada,100411.jpg
Peter Paul Rubens,The Birth of Henri IV of France,100436.jpg
